UUID,date,Latitude,Longitude,Altitude,Velocity,Dist
Orni17499-165,2018-05-04,64.72048535617574,151.65240630593567,82.08333333333333,17.97646604938272,197.22826186910504
Orni17499-165,2018-05-07,67.57261759097565,158.1992052917556,49.041666666666664,18.802083333333332,432.28921625113037
Orni17499-165,2018-05-13,67.48099783573088,152.93305763441268,32.65277777777778,19.054783950617285,223.99844303291295
Orni17499-165,2018-05-14,66.15924785670991,150.56959090014703,27.72222222222222,17.577160493827158,179.70013279423486
Orni17499-165,2018-05-29,68.2415412867312,151.78914782676907,32.291666666666664,18.775077160493822,237.41712276234512
Orni17499-165,2018-06-05,68.97921851589795,157.73373945871356,30.09027777777778,16.6724537037037,254.5266111088403
Orni17499-165,2018-06-06,68.98297203673127,167.53011216010248,181.58333333333334,17.154706790123456,390.29373013622427
Orni17499-165,2018-06-21,69.52771111312012,164.16489355593578,41.40277777777778,18.738425925925924,145.70140781228986
Orni17499-165,2018-06-24,69.73183112511057,159.6714689308358,32.86805555555556,17.226080246913586,175.3531371564633
Orni17499-165,2018-06-28,69.60209477284238,164.4683538128802,-0.5902777777777778,17.49614197530864,185.8524007400235
Orni17499-165,2018-08-16,68.9551602311757,169.4098913753802,1.0486111111111112,17.89544753086421,207.2278822682078
Orni17499-165,2018-09-28,69.50563110968375,164.35546992134238,61.422680412371136,17.545819014891176,208.41820620799982
Orni17499-165,2018-10-03,62.607977828397935,149.9088873198247,441.8541666666667,18.263888888888893,1001.5406450381281
Orni17499-165,2018-10-04,54.29208197381666,139.53642512475835,47.826388888888886,18.022762345679006,1101.2680095499086
Orni17499-165,2018-10-05,52.4470562450646,130.77256138926907,499.0486111111111,17.18557098765433,616.0713188332602
Orni17499-165,2018-10-06,49.59044762594064,125.10079691063662,441.5769230769231,17.072649572649578,507.9700890820866
Orni17499-165,2018-10-07,46.80967490478681,122.6020694587135,232.6153846153846,18.044871794871803,360.376073729797
Orni17499-165,2018-11-20,39.67613163085063,120.33782217768511,540.4225352112676,18.493740219092334,814.0422179055957
Orni17499-165,2018-11-21,31.219475786731234,116.76522585454687,199.93055555555554,17.23379629629629,994.2200468686485
Orni17499-165,2018-11-22,29.512679808155593,116.1122201918695,9.23076923076923,17.259129759129753,199.85871135692952
Orni17499-165,2019-01-23,31.437457210342366,118.80152849343573,12.645833333333334,18.33912037037037,334.9827041090223
Orni17499-165,2019-02-26,34.83390291173125,119.72180072954683,183.4375,18.117283950617285,387.2600602390768
Orni17499-165,2019-02-27,42.464377681884706,122.74407020084644,283.5763888888889,16.616512345679013,887.9652776957578
Orni17499-165,2019-02-28,46.755599342286786,123.77674968788018,154.59027777777777,17.27237654320988,484.10110558407644
Orni17499-165,2019-03-22,48.416927113120124,126.34516914621352,298.99305555555554,17.729552469135797,266.8630239318542
Orni17499-165,2019-03-25,49.389351460342354,129.0165612017691,114.16666666666667,17.673611111111114,223.1793381300576
Orni17499-166,2017-08-08,68.87478549548312,169.40978064580023,16.4375,18.43942901234568,3060.734073879434
Orni17499-166,2017-09-18,66.59299243094182,160.47417474895644,345.7986111111111,18.14429012345679,453.3372921948845
Orni17499-166,2017-09-19,61.04608049514285,148.16118366670494,506.006993006993,16.26456876456876,860.4513046774956
Orni17499-166,2017-09-20,60.3155636714728,146.91576781315854,265.84722222222223,16.03973765432099,105.81092815206715
Orni17499-166,2017-10-02,53.212392786766706,136.9316966216412,225.6344827586207,18.722222222222225,994.8077640782356
Orni17499-166,2017-10-03,47.59506542053382,134.0443276339918,446.1929824561403,17.000487329434694,657.1436839751859
Orni17499-166,2017-10-04,42.641229436811294,130.66058436501908,36.23931623931624,17.191358024691358,611.3355772382628
Orni17499-166,2017-10-17,41.71284534469226,129.76157287534664,322.0833333333333,18.356481481481488,127.06066632383946
Orni17499-166,2017-10-18,37.66695082785334,126.66144263522415,72.875,18.75964506172839,522.172043849898
Orni17499-166,2017-10-19,36.661570223851136,126.38112209680922,0.5069444444444444,19.336419753086417,114.519408526864
Orni17499-166,2017-11-29,34.40100909510581,120.94182147216436,27.75,18.225308641975317,552.5456717248139
Orni17499-166,2018-02-27,37.38521813960849,119.30065630122701,46.09722222222222,17.943672839506167,363.2532258361004
